epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1473.7,1.57633,2.11749,0.97654,0.97911,0.85276,0.88639,0.67439,0.94004,0.58651,0.81667,0.000369994,0.000369994,0.000369994
2,2851.28,1.17648,0.93102,0.85856,0.94739,0.87525,0.92356,0.68137,0.97436,0.63924,0.82137,0.000725669,0.000725669,0.000725669
3,4303.47,1.10982,0.8426,0.84678,0.98349,0.89927,0.93634,0.7096,0.94343,0.53027,0.8176,0.00106668,0.00106668,0.00106668
4,5662.84,1.06312,0.79069,0.84018,0.97786,0.94655,0.9679,0.75333,0.91577,0.5053,0.81402,0.00104501,0.00104501,0.00104501
5,6892.86,1.01489,0.72877,0.83265,0.98838,0.93631,0.96845,0.76196,0.88841,0.48528,0.81095,0.00102301,0.00102301,0.00102301
6,8087.16,0.96499,0.67879,0.82571,0.96821,0.94622,0.97503,0.75173,0.89328,0.4732,0.81151,0.00100101,0.00100101,0.00100101
7,9302.38,0.9294,0.64203,0.82069,0.9789,0.95017,0.96865,0.7518,0.91125,0.47926,0.81216,0.000979013,0.000979013,0.000979013
