epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6398.94,0.86613,0.45884,0.8274,0.98906,0.95865,0.97778,0.77486,0.85938,0.44958,0.81037,0.000660045,0.000660045,0.000660045
43,6551.29,0.85157,0.45671,0.82443,0.98657,0.96154,0.97797,0.76908,0.91297,0.46397,0.81436,0.000649046,0.000649046,0.000649046
44,6703.69,0.85865,0.45777,0.82421,0.98218,0.96498,0.97828,0.75176,0.99924,0.47721,0.82046,0.000638047,0.000638047,0.000638047
45,6856.05,0.84739,0.45162,0.82688,0.9825,0.96786,0.98098,0.7857,0.85193,0.43575,0.81018,0.000627048,0.000627048,0.000627048
46,7008.56,0.84368,0.45125,0.82521,0.98105,0.962,0.97951,0.76745,0.91993,0.46138,0.814,0.000616049,0.000616049,0.000616049
47,7160.98,0.83111,0.44866,0.82179,0.9903,0.96436,0.98035,0.76992,0.89371,0.45312,0.81255,0.000605051,0.000605051,0.000605051
48,7313.32,0.84451,0.44861,0.82323,0.9941,0.95568,0.97732,0.77591,0.89489,0.44988,0.812,0.000594052,0.000594052,0.000594052
49,7465.8,0.84381,0.44678,0.82473,0.99037,0.96139,0.97923,0.77547,0.89324,0.44518,0.81192,0.000583053,0.000583053,0.000583053
50,7617.98,0.83529,0.44077,0.82497,0.98945,0.96461,0.97879,0.75613,0.99332,0.45745,0.81754,0.000572054,0.000572054,0.000572054
51,7770.23,0.85707,0.44856,0.8244,0.98822,0.96635,0.97979,0.77074,0.94489,0.44375,0.81428,0.000561055,0.000561055,0.000561055
52,7922.37,0.8123,0.42428,0.82351,0.983,0.97172,0.98102,0.78935,0.85805,0.42265,0.81047,0.000550056,0.000550056,0.000550056
53,8075.12,0.8225,0.42667,0.82199,0.99004,0.9658,0.98008,0.784,0.86048,0.43669,0.809,0.000539057,0.000539057,0.000539057
