epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1326.04,1.56308,2.04226,0.96882,0.962,0.93016,0.95979,0.71703,0.94946,0.62984,0.81888,0.000370062,0.000370062,0.000370062
2,2579.76,1.18209,0.9394,0.85906,0.97494,0.9084,0.94405,0.73288,0.86925,0.53385,0.81019,0.000725736,0.000725736,0.000725736
3,3787.75,1.124,0.85392,0.84912,0.9386,0.89088,0.93271,0.69813,0.95584,0.5909,0.82278,0.00106674,0.00106674,0.00106674
4,4990.17,1.06479,0.79179,0.83978,0.97715,0.94921,0.97038,0.74343,0.93572,0.50756,0.81909,0.00104501,0.00104501,0.00104501
5,6167.31,1.01456,0.73623,0.83182,0.97465,0.93749,0.96257,0.73997,0.92974,0.5148,0.8168,0.00102301,0.00102301,0.00102301
6,7363.67,0.96738,0.68348,0.82515,0.97336,0.94435,0.97166,0.76008,0.89472,0.47987,0.81221,0.00100101,0.00100101,0.00100101
