epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4231,2.22061,3.78284,1.26923,0.72123,0.37232,0.51706,0.17673,2.4731,12.1178,1.4204,0.0702727,0.00330303,0.00330303
2,124.671,1.57253,1.5338,1.00798,0.72478,0.62618,0.7494,0.47262,1.50149,1.73206,0.93139,0.040207,0.00657066,0.00657066
3,188.016,1.50656,1.4141,0.99024,0.81437,0.44993,0.62409,0.37742,1.65885,5.36868,0.95854,0.0100753,0.0097723,0.0097723
4,251.632,1.46948,1.30326,0.9822,0.89336,0.7879,0.87812,0.57816,1.46258,1.76827,0.91651,0.009703,0.009703,0.009703
5,315.865,1.3856,1.20619,0.9588,0.92715,0.85797,0.90507,0.60427,1.32611,0.99794,0.891,0.009604,0.009604,0.009604
6,380.311,1.34688,1.09591,0.95127,0.91569,0.82616,0.91947,0.64954,1.29289,0.93944,0.87715,0.009505,0.009505,0.009505
7,444.976,1.31942,1.03523,0.94192,0.8994,0.86351,0.92972,0.65686,1.23954,0.91171,0.8817,0.009406,0.009406,0.009406
8,509.81,1.27267,0.9698,0.93165,0.82981,0.79261,0.85095,0.56558,1.34116,1.15527,0.88219,0.009307,0.009307,0.009307
9,574.652,1.24983,0.94837,0.92252,0.89659,0.67027,0.81207,0.5705,1.30279,1.43292,0.88317,0.009208,0.009208,0.009208
10,639.474,1.26377,0.90148,0.9283,0.94696,0.89195,0.92969,0.68269,1.13537,0.7099,0.85215,0.009109,0.009109,0.009109
11,704.574,1.21309,0.89577,0.91894,0.95598,0.89585,0.93579,0.70548,1.06316,0.68756,0.84545,0.00901,0.00901,0.00901
12,769.85,1.20323,0.86944,0.91717,0.91893,0.9109,0.93312,0.67839,1.16948,0.73354,0.85992,0.008911,0.008911,0.008911
13,835.031,1.16066,0.80443,0.90711,0.92158,0.81819,0.92255,0.70501,1.0394,0.77458,0.84646,0.008812,0.008812,0.008812
14,900.243,1.18128,0.79713,0.9115,0.84395,0.79793,0.83916,0.59839,1.19484,1.29359,0.86024,0.008713,0.008713,0.008713
15,965.33,1.1533,0.7956,0.91028,0.95734,0.91966,0.95171,0.71518,1.09292,0.63629,0.84984,0.008614,0.008614,0.008614
16,1030.69,1.16503,0.80884,0.91156,0.92112,0.8643,0.90691,0.6774,1.1059,0.81575,0.85502,0.008515,0.008515,0.008515
17,1096.05,1.1626,0.80086,0.90178,0.97265,0.90596,0.95598,0.72641,1.02581,0.61039,0.8407,0.008416,0.008416,0.008416
18,1161.39,1.12779,0.76537,0.90066,0.93891,0.8931,0.94993,0.73786,1.00756,0.66735,0.8423,0.008317,0.008317,0.008317
19,1226.86,1.11544,0.74671,0.89707,0.96263,0.9091,0.95413,0.73605,1.00005,0.61838,0.8402,0.008218,0.008218,0.008218
20,1292.03,1.11817,0.73087,0.89525,0.95082,0.892,0.94948,0.72334,1.08281,0.64632,0.84422,0.008119,0.008119,0.008119
21,1357.35,1.1085,0.72463,0.89995,0.96619,0.92986,0.95364,0.7225,1.00513,0.58951,0.83587,0.00802,0.00802,0.00802
22,1422.84,1.09978,0.72526,0.89546,0.97327,0.93023,0.95826,0.75541,0.95641,0.5823,0.83485,0.007921,0.007921,0.007921
23,1488.27,1.07522,0.69731,0.88529,0.96631,0.9298,0.95726,0.74088,1.01999,0.58054,0.83606,0.007822,0.007822,0.007822
24,1553.54,1.1101,0.70181,0.89099,0.91423,0.91841,0.95166,0.71393,1.04829,0.67415,0.84384,0.007723,0.007723,0.007723
25,1618.89,1.07506,0.68714,0.89108,0.97815,0.93438,0.96341,0.72841,1.09018,0.60306,0.84954,0.007624,0.007624,0.007624
26,1684.36,1.06524,0.6752,0.88635,0.96754,0.9257,0.95624,0.74508,0.98978,0.61367,0.83437,0.007525,0.007525,0.007525
27,1749.62,1.05822,0.65819,0.88575,0.96442,0.83556,0.92905,0.71867,1.00823,0.69516,0.83784,0.007426,0.007426,0.007426
