epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.3835,2.1471,3.54257,1.24206,0.36125,0.24588,0.27915,0.11431,2.07352,24.0191,1.18064,0.0702459,0.00330601,0.00330601
2,129.116,1.59094,1.52938,1.01529,0.82046,0.74047,0.78042,0.50787,1.49292,3.68803,0.93158,0.0401802,0.00657361,0.00657361
3,193.72,1.49509,1.429,0.98605,0.5516,0.29494,0.37468,0.20776,1.71103,4.54067,0.9603,0.0100484,0.00977522,0.00977522
4,258.754,1.50344,1.34778,0.98828,0.7653,0.82703,0.86982,0.57602,1.33121,1.89641,0.88813,0.009703,0.009703,0.009703
5,324.639,1.3814,1.1968,0.9584,0.73868,0.62201,0.7275,0.44982,1.5582,1.57359,0.91546,0.009604,0.009604,0.009604
6,390.93,1.31568,1.1127,0.94262,0.6516,0.68547,0.73351,0.49892,1.49267,2.1834,0.91707,0.009505,0.009505,0.009505
7,456.975,1.30552,1.01734,0.93822,0.93469,0.88829,0.93628,0.68887,1.09128,0.77544,0.85066,0.009406,0.009406,0.009406
8,523.199,1.27996,0.99818,0.93006,0.93769,0.90217,0.93352,0.69412,1.08901,0.81378,0.85285,0.009307,0.009307,0.009307
9,589.34,1.24074,0.95383,0.92522,0.89426,0.8927,0.93101,0.68337,1.14084,0.75984,0.8589,0.009208,0.009208,0.009208
10,655.702,1.23983,0.89904,0.92635,0.9561,0.90335,0.93868,0.72492,1.03708,0.74338,0.83989,0.009109,0.009109,0.009109
11,722.041,1.21637,0.88584,0.91517,0.90366,0.88944,0.91517,0.69399,1.07036,0.76972,0.85058,0.00901,0.00901,0.00901
12,788.437,1.19865,0.89213,0.91891,0.9561,0.89575,0.93127,0.68997,1.11616,0.80653,0.85449,0.008911,0.008911,0.008911
13,854.739,1.18677,0.85625,0.91542,0.95997,0.89232,0.93413,0.6905,1.11662,0.74654,0.85455,0.008812,0.008812,0.008812
14,921.038,1.17242,0.81207,0.90656,0.96887,0.90603,0.94152,0.6843,1.18707,0.71143,0.86332,0.008713,0.008713,0.008713
15,987.417,1.18473,0.79486,0.91064,0.87053,0.86306,0.91523,0.68967,1.05135,0.84529,0.84131,0.008614,0.008614,0.008614
16,1054.03,1.155,0.77914,0.90719,0.95643,0.89969,0.94125,0.71281,1.0696,0.66031,0.84808,0.008515,0.008515,0.008515
17,1120.65,1.15207,0.79106,0.90736,0.96913,0.90879,0.95339,0.72572,1.02914,0.67343,0.84464,0.008416,0.008416,0.008416
18,1187.44,1.11502,0.73889,0.89904,0.95616,0.91154,0.94754,0.73192,0.98493,0.62371,0.83743,0.008317,0.008317,0.008317
19,1254.08,1.10231,0.75689,0.88938,0.97027,0.90782,0.94193,0.73527,1.00643,0.68592,0.83912,0.008218,0.008218,0.008218
20,1320.79,1.12424,0.74156,0.90273,0.89571,0.87736,0.9198,0.70052,1.05076,0.84484,0.84596,0.008119,0.008119,0.008119
21,1387.52,1.12605,0.71816,0.89655,0.95724,0.92907,0.95252,0.72172,1.05674,0.63164,0.84128,0.00802,0.00802,0.00802
22,1454.09,1.08092,0.69314,0.88953,0.86696,0.87334,0.92634,0.70667,1.01657,0.72432,0.83432,0.007921,0.007921,0.007921
23,1520.85,1.08131,0.69993,0.89119,0.95848,0.91581,0.94566,0.74028,0.97158,0.59748,0.8328,0.007822,0.007822,0.007822
